region,anos,mes,trigo,maiz_a_duro,maiz_amilaceo,arroz_cascara,cebada_grano,quinua,esparrago,alcachofa,aji,piquillo,pimiento,tomate,zapallo,arveja_verde,zanahoria,ajo,cebolla,maiz_choclo,palta,platano,mango,papaya,pina,granadilla,limon_sutil,naranja,mandarina,tangelo,uva,manzana,melocoton,tuna,aceituna,palma_aceitera,papa,yuca,camote,oca,olluco,cafe_pergamino,cacao,paprika,frijol_grano_seco,pallar_grano_seco,haba_seca,arveja_seca,cana_para_azucar,alfalfa,maiz_chala,cebada_forrajera,avena_forrajera,algodon_rama,oregano,arandano,allsky_sfc_sw_dwn,gwetroot,prectotcorr,ps,rh2m,t2m,t2m_max,t2m_min,ts,ws2m,amplitud_termica,riesgo_helada,estres_calor,vpd_kpa
Ica,2020,Enero,0.0,9000.189999999999,0.0,0.0,0.0,0.0,14799.6,0.0,635.0,0.0,44.18,25123.8,1241.4,0.0,0.0,12.0,11774.5,231.5,7.1,215.5,1266.56,13.7,0.0,9.5,38.0,0.0,0.0,0.0,105129.7,0.0,8.0,383.299,0.0,0.0,0.0,155.0,1051.4,0.0,0.0,0.0,0.0,146.7,18.9,23.45,0.0,0.0,0.0,10684.89,0.0,0.0,0.0,1432.79,0.0,0.0,22.25,0.33,0.12,95.82,78.45,21.96,27.55,18.21,23.95,2.99,9.34,0,0,0.5683609105395417
Ica,2020,Febrero,0.0,21378.29,10.6,0.0,0.0,0.0,29870.27,0.0,871.3,0.0,44.18,34964.8,1854.9,22.27,0.0,22.1,14255.1,231.5,140.2,434.2,6099.968,42.5,0.0,9.5,93.8,0.0,320.0,0.0,171799.71,122.3,425.5,812.949,0.0,0.0,0.0,635.0,2995.2,0.0,0.0,0.0,0.0,385.55,18.9,54.4,0.0,0.0,0.0,22028.0,0.0,0.0,0.0,1938.49,0.0,0.0,23.67,0.33,0.16,95.77,79.22,22.85,27.98,19.51,24.72,2.84,8.469999999999999,0,0,0.5785065136603835
Ica,2020,Marzo,0.0,30370.94,10.6,0.0,0.0,0.0,44523.67,0.0,1239.1,0.0,44.18,42729.10000000001,2154.55,33.87,142.8,22.1,15094.6,231.5,6240.2,669.7,7779.257,61.9,0.0,9.5,182.6,0.0,12855.0,0.0,207128.76,365.48,547.5,926.949,1586.65,0.0,169.2,1136.0,4462.5,0.0,0.0,0.0,0.0,624.1999999999999,18.9,70.4,0.0,0.0,0.0,32953.32,0.0,0.0,0.0,4136.719999999999,0.0,0.0,22.84,0.33,0.2,95.82,78.16,22.62,27.86,19.17,24.34,2.7,8.689999999999998,0,0,0.5995996848700633
Ica,2020,Abril,0.0,41422.09,34.3,0.0,0.0,0.0,59262.24,0.0,1487.15,0.0,44.18,44234.8,2843.45,78.87,142.8,22.1,26393.88,231.5,15662.92,902.1,8002.956999999999,84.9,0.0,9.5,692.8,0.0,41799.2,0.0,212649.91,848.48,547.5,926.949,4478.45,0.0,399.45,1515.0,5882.1,0.0,0.0,0.0,0.0,740.8399999999999,18.9,95.65,0.0,0.0,0.0,44066.01,0.0,0.0,0.0,6931.469999999999,0.0,0.0,22.14,0.33,0.04,95.9,73.38,21.48,27.26,16.69,22.83,2.7,10.57,0,0,0.6817912619593094
Ica,2020,Mayo,0.0,41422.09,34.3,0.0,0.0,0.0,73332.959,0.0,2002.75,0.0,44.18,47291.75,3474.85,170.52,142.8,22.1,36620.78,231.5,42745.279,1131.1,8002.956999999999,116.2,0.0,9.5,762.8499999999999,215.1,78000.45,0.0,212649.91,1122.28,547.5,926.949,6711.08,0.0,555.8499999999999,1835.8,8435.2,15.6,0.0,0.0,0.0,1196.89,18.9,101.95,0.0,0.0,0.0,55199.93000000001,0.0,0.0,0.0,9395.098999999998,0.0,0.0,15.79,0.32,0.03,95.9,69.33,20.0,25.6,15.49,20.76,2.54,10.11,0,0,0.717127383446827
Ica,2020,Junio,20.25,95201.29,34.3,0.0,76.5,0.0,73332.959,0.0,2643.75,0.0,44.18,48989.55,5371.85,244.14,142.8,22.1,46446.68000000001,379.799,61885.429,1334.35,7977.756999999999,144.55,0.0,9.5,1099.2,2424.37,110011.35,1333.9,212650.91,1126.63,547.5,926.948,6712.58,0.0,611.61,2155.6,12941.8,24.8,0.0,0.0,0.0,1182.09,18.9,101.95,0.0,0.0,0.0,65791.829,0.0,0.0,0.0,10333.789,0.0,0.0,12.75,0.32,0.0,95.94,72.46,17.99,24.05,13.9,18.7,3.12,10.15,0,0,0.568046719737022
Ica,2020,Julio,60.1,103391.9,68.1,0.0,100.99,0.0,103751.279,122.0,3891.45,0.0,44.18,50732.25,8525.52,322.86,142.8,22.1,50703.18000000001,974.599,77893.749,1543.73,7977.756999999999,190.7,0.0,9.5,1371.23,16537.27,154513.95,20811.2,212935.91,1129.43,547.5,926.948,6788.93,0.0,20284.81,2960.5,15720.2,24.8,0.0,0.0,0.0,1197.39,44.26,101.95,0.0,0.0,0.0,76523.939,0.0,0.0,0.0,10542.089,0.0,46.1,13.58,0.32,0.0,95.91,68.67,17.13,23.99,13.47,17.81,3.02,10.52,0,0,0.6120900752230662
Ica,2020,Agosto,60.1,109888.55,95.8,0.0,100.99,0.0,116412.679,402.0,4470.45,0.0,143.18,53971.05,10862.27,354.81,142.8,22.1,62969.83000000001,3122.649,82639.049,1771.43,7977.756999999999,228.74,0.0,9.5,1569.03,26665.04,176076.43,28019.9,212981.91,1267.28,547.5,926.948,6862.67,0.0,69534.41,4082.6,17322.0,24.8,0.0,0.0,0.0,1197.39,49.44,311.14,0.0,0.0,0.0,87835.409,0.0,0.0,0.0,10552.489,0.0,349.11,15.62,0.32,0.01,95.95,66.76,17.29,23.4,12.52,18.49,3.22,10.88,0,0,0.6560126763441503
Ica,2020,Septiembre,60.1,115833.55,103.9,0.0,100.99,0.0,136575.529,1257.0,5364.25,0.0,239.68,57712.15,13293.67,380.31,142.8,22.1,70018.53000000001,13351.699,80659.94900000001,1985.93,7977.757,313.74,0.0,9.5,1676.77,32038.23999999999,179059.32,30568.419,213029.91,1267.28,547.5,926.948,6862.67,0.0,104652.04,5644.5,19022.92,24.8,0.0,0.0,0.0,1218.19,135.94,713.989,0.0,0.0,0.0,98198.329,0.0,0.0,0.0,10580.338,0.0,1242.51,20.42,0.32,0.02,95.93,67.25,17.45,23.34,12.88,18.96,3.16,10.46,0,0,0.6529099272791132
Ica,2020,Octubre,60.1,121976.11,114.54,0.0,100.99,0.0,157061.129,9116.0,5861.25,0.0,348.48,67095.59,14781.43,389.099,142.8,22.1,88125.84000000001,19469.699,80659.94900000001,2208.88,7977.757,375.64,0.0,9.5,1689.589,32104.23999999999,180665.32,30568.419,214324.91,1267.28,586.75,926.948,6862.67,0.0,114071.61,8262.7,20548.92,24.8,0.0,0.0,0.0,1239.79,268.95,1821.018,0.0,0.0,0.0,110692.829,0.0,0.0,0.0,10648.728,0.0,5128.01,23.51,0.32,0.05,95.85,66.83,18.82,24.54,14.29,20.74,3.04,10.25,0,0,0.7207068643656978
