region,anos,mes,trigo,maiz_a_duro,maiz_amilaceo,arroz_cascara,cebada_grano,quinua,esparrago,alcachofa,aji,piquillo,pimiento,tomate,zapallo,arveja_verde,zanahoria,ajo,cebolla,maiz_choclo,palta,platano,mango,papaya,pina,granadilla,limon_sutil,naranja,mandarina,tangelo,uva,manzana,melocoton,tuna,aceituna,palma_aceitera,papa,yuca,camote,oca,olluco,cafe_pergamino,cacao,paprika,frijol_grano_seco,pallar_grano_seco,haba_seca,arveja_seca,cana_para_azucar,alfalfa,maiz_chala,cebada_forrajera,avena_forrajera,algodon_rama,oregano,arandano,allsky_sfc_sw_dwn,gwetroot,prectotcorr,ps,rh2m,t2m,t2m_max,t2m_min,ts,ws2m,amplitud_termica,riesgo_helada,estres_calor,vpd_kpa
Ica,2020,Enero,0.0,9000.189999999999,0.0,0.0,0.0,0.0,14799.6,0.0,635.0,0.0,44.18,25123.8,1241.4,0.0,0.0,12.0,11774.5,231.5,7.1,215.5,1266.56,13.7,0.0,9.5,38.0,0.0,0.0,0.0,105129.7,0.0,8.0,383.299,0.0,0.0,0.0,155.0,1051.4,0.0,0.0,0.0,0.0,146.7,18.9,23.45,0.0,0.0,0.0,10684.89,0.0,0.0,0.0,1432.79,0.0,0.0,22.25,0.33,0.12,95.82,78.45,21.96,27.55,18.21,23.95,2.99,9.34,0,0,0.5683609105395417
Ica,2020,Febrero,0.0,12378.1,10.6,0.0,0.0,0.0,15070.67,0.0,236.3,0.0,0.0,9841.000000000004,613.5,22.27,0.0,10.1,2480.6,0.0,133.1,218.7,4833.407999999999,28.8,0.0,0.0,55.8,0.0,320.0,0.0,66670.01,122.3,417.5,429.65,0.0,0.0,0.0,480.0,1943.8,0.0,0.0,0.0,0.0,238.85,0.0,30.95,0.0,0.0,0.0,11343.11,0.0,0.0,0.0,505.7000000000001,0.0,0.0,23.67,0.33,0.16,95.77,79.22,22.85,27.98,19.51,24.72,2.84,8.469999999999999,0,0,0.5785065136603835
Ica,2020,Marzo,0.0,8992.650000000001,0.0,0.0,0.0,0.0,14653.4,0.0,367.8,0.0,0.0,7764.300000000003,299.6499999999996,11.6,142.8,0.0,839.5,0.0,6100.0,235.5000000000001,1679.289,19.4,0.0,0.0,88.8,0.0,12535.0,0.0,35329.05000000002,243.18,122.0,114.0,1586.65,0.0,169.2,501.0,1467.3,0.0,0.0,0.0,0.0,238.65,0.0,16.00000000000001,0.0,0.0,0.0,10925.32,0.0,0.0,0.0,2198.23,0.0,0.0,22.84,0.33,0.2,95.82,78.16,22.62,27.86,19.17,24.34,2.7,8.689999999999998,0,0,0.5995996848700633
Ica,2020,Abril,0.0,11051.14999999999,23.7,0.0,0.0,0.0,14738.57,0.0,248.05,0.0,0.0,1505.699999999997,688.9000000000001,45.0,0.0,0.0,11299.28,0.0,9422.719999999998,232.4,223.6999999999998,23.00000000000001,0.0,0.0,510.1999999999999,0.0,28944.2,0.0,5521.149999999994,483.0,0.0,0.0,2891.8,0.0,230.25,379.0,1419.6,0.0,0.0,0.0,0.0,116.64,0.0,25.25,0.0,0.0,0.0,11112.69,0.0,0.0,0.0,2794.75,0.0,0.0,22.14,0.33,0.04,95.9,73.38,21.48,27.26,16.69,22.83,2.7,10.57,0,0,0.6817912619593094
Ica,2020,Mayo,0.0,0.0,0.0,0.0,0.0,0.0,14070.719,0.0,515.6000000000001,0.0,0.0,3056.949999999997,631.4000000000001,91.65,0.0,0.0,10226.9,0.0,27082.359,228.9999999999999,0.0,31.3,0.0,0.0,70.04999999999995,215.1,36201.25,0.0,0.0,273.8,0.0,0.0,2232.63,0.0,156.3999999999999,320.8,2553.1,15.6,0.0,0.0,0.0,456.05,0.0,6.299999999999997,0.0,0.0,0.0,11133.92000000001,0.0,0.0,0.0,2463.628999999999,0.0,0.0,15.79,0.32,0.03,95.9,69.33,20.0,25.6,15.49,20.76,2.54,10.11,0,0,0.717127383446827
Ica,2020,Junio,20.25,53779.2,0.0,0.0,76.5,0.0,0.0,0.0,641.0,0.0,0.0,1697.800000000003,1897.0,73.62,0.0,0.0,9825.900000000009,148.299,19140.15,203.2500000000002,0.0,28.35000000000001,0.0,0.0,336.3500000000001,2209.27,32010.90000000001,1333.9,1.0,4.349999999999909,0.0,0.0,1.5,0.0,55.7600000000001,319.8,4506.599999999999,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10591.89899999999,0.0,0.0,0.0,938.6900000000024,0.0,0.0,12.75,0.32,0.0,95.94,72.46,17.99,24.05,13.9,18.7,3.12,10.15,0,0,0.568046719737022
Ica,2020,Julio,39.85,8190.610000000001,33.8,0.0,24.49000000000001,0.0,30418.32000000001,122.0,1247.7,0.0,0.0,1742.699999999997,3153.67,78.72,0.0,0.0,4256.5,594.8,16008.32,209.3799999999999,0.0,46.15000000000001,0.0,0.0,272.03,14112.9,44502.60000000001,19477.3,285.0,2.799999999999955,0.0,0.0,76.35000000000036,0.0,19673.2,804.9000000000001,2778.4,0.0,0.0,0.0,0.0,15.29999999999996,25.36,0.0,0.0,0.0,0.0,10732.11,0.0,0.0,0.0,208.2999999999993,0.0,46.1,13.58,0.32,0.0,95.91,68.67,17.13,23.99,13.47,17.81,3.02,10.52,0,0,0.6120900752230662
Ica,2020,Agosto,0.0,6496.649999999994,27.7,0.0,0.0,0.0,12661.39999999999,280.0,579.0,0.0,99.0,3238.800000000003,2336.75,31.94999999999999,0.0,0.0,12266.65,2148.05,4745.300000000003,227.7,0.0,38.03999999999999,0.0,0.0,197.8,10127.77,21562.48000000001,7208.699999999997,46.0,137.8499999999999,0.0,0.0,73.73999999999978,0.0,49249.60000000001,1122.1,1601.800000000001,0.0,0.0,0.0,0.0,0.0,5.18,209.19,0.0,0.0,0.0,11311.47,0.0,0.0,0.0,10.39999999999964,0.0,303.01,15.62,0.32,0.01,95.95,66.76,17.29,23.4,12.52,18.49,3.22,10.88,0,0,0.6560126763441503
Ica,2020,Septiembre,0.0,5945.0,8.099999999999994,0.0,0.0,0.0,20162.85000000001,855.0,893.8000000000002,0.0,96.5,3741.099999999999,2431.4,25.5,0.0,0.0,7048.700000000004,10229.05,0.0,214.5,1.818989403545856e-12,85.0,0.0,0.0,107.74,5373.199999999993,2982.889999999985,2548.519000000004,47.9999999999709,0.0,0.0,0.0,0.0,0.0,35117.63,1561.9,1700.920000000002,0.0,0.0,0.0,0.0,20.79999999999995,86.5,402.8490000000001,0.0,0.0,0.0,10362.92,0.0,0.0,0.0,27.84899999999834,0.0,893.4,20.42,0.32,0.02,95.93,67.25,17.45,23.34,12.88,18.96,3.16,10.46,0,0,0.6529099272791132
Ica,2020,Octubre,0.0,6142.559999999998,10.64,0.0,0.0,0.0,20485.60000000001,7859.0,497.0,0.0,108.8,9383.439999999997,1487.76,8.788999999999987,0.0,0.0,18107.31,6118.0,0.0,222.95,0.0,61.89999999999998,0.0,0.0,12.81899999999996,66.0,1606.0,0.0,1295.0,0.0,39.25,0.0,0.0,0.0,9419.570000000009,2618.200000000001,1526.0,0.0,0.0,0.0,0.0,21.59999999999991,133.01,1107.029,0.0,0.0,0.0,12494.5,0.0,0.0,0.0,68.38999999999942,0.0,3885.5,23.51,0.32,0.05,95.85,66.83,18.82,24.54,14.29,20.74,3.04,10.25,0,0,0.7207068643656978
Ica,2020,Noviembre,0.0,12687.45999999999,21.15000000000001,0.0,0.0,0.0,17795.39999999999,8500.8,421.5,0.0,22.19999999999999,25185.45,1216.93,34.54000000000002,0.0,0.0,22877.77,0.0,0.0,206.9000000000001,0.0,31.10000000000002,0.0,0.0,11.29999999999996,0.0,0.0,0.0,16607.34,0.0,26.60000000000002,0.0,0.0,0.0,1203.0,2369.129000000001,1526.829999999998,0.0,0.0,0.0,0.0,0.0,108.18,1255.12,0.0,0.0,0.0,11862.209,0.0,0.0,0.0,130.1290000000008,0.0,3809.6,23.63,0.32,0.07,95.91,69.5,18.71,24.74,13.74,20.86,2.97,11.0,0,0,0.6581534853821687
Junin,2020,Enero,0.0,3263.5,0.0,56.0,0.0,0.0,0.0,337.1,0.0,0.0,0.0,0.0,201.4,3421.6,1717.8,12.0,270.1,1306.8,5905.8,17660.3,524.4999999999999,946.6,41939.2,736.3499999999999,192.75,19948.6,799.6,2755.0,0.0,0.6,1.7,3.9,0.0,0.0,24539.2,6911.9,0.0,0.0,182.8,0.0,544.6890000000001,0.0,317.3,0.0,0.0,0.0,0.0,11069.4,0.0,312.4,814.1999999999999,0.0,4.46,0.0,15.34,0.67,2.43,90.97,80.68,23.75,34.11,19.08,23.68,0.21,15.03,0,1,0.5678801008401151
